,kh,xb,rhsc,nl,jf,xfsp,gwspph,jjph,xfpc
32,338b6305,女,2992,44,4770.0,4770.0,"['阿玛尼GIORGIO ARMANI', '植村秀(Shu Uemura)', '娇兰(GUERLAIN)']",夏季,3
33,9f5370ab,女,1248,38,320.0,320.0,['CHANEL'],冬季,1
34,8a4d45c6,女,505,49,1710.0,8550.0,['周大福柜'],夏季,1
35,885a29f4,女,3052,31,2358.0,2358.0,"['Shu Uemura', '兰蔻(LANCOME)', 'PANDORA柜']",春季,4
36,0220ae3e,女,2799,63,0.0,1700.0,['施华洛世奇柜'],春季,1
37,291789c8,女,1157,34,8768.0,8868.0,"['娇兰柜', '迪奥柜', '雅诗兰黛柜']",冬季,9
38,d1b5ed10,女,965,35,32310.0,37380.6,"['DKNY 柜', '香奈儿柜', '素然柜']",春季,14
39,2dc0be3f,女,3067,60,5623.0,5822.5,"['AD KIDS', 'ROOKIE', 'VASTO柜']",秋季,4
40,a72ec1aa,女,2484,52,0.0,1455.0,['LANCOME'],冬季,1
41,44959ba8,女,2293,43,4059.0,4059.0,"['YARLOKS', 'YARLOKS（女鞋)']",秋季,2
42,3676e0c8,女,1904,46,66476.0,75699.0,"['香奈儿柜', '娇兰柜', '海蓝之谜']",春季,24
43,bf709806,女,1587,30,580.0,580.0,['乔治.阿玛尼'],春季,1
44,c1da4975,女,2078,31,11188.0,13125.0,"['Shu Uemura', '兰芝柜', 'LANCOME']",春季,9
45,8aaba4dc,女,843,37,4042.0,4042.0,"[""O'2ND"", 'BOBBI BROWN', 'MO&CO.EDITION柜']",秋季,3
46,19d06f63,女,4850,54,1536.0,1536.0,"['沙驰男鞋', 'GORNIA柜']",秋季,2
47,1774d2a5,女,1498,30,620.0,620.0,['欧舒丹柜'],夏季,1
48,c448a45d,男,1536,36,1433.0,1433.0,['VASTO柜'],春季,1
49,f21d33e7,女,512,29,4980.0,4980.0,['宝岛眼镜'],夏季,1
50,4bd13bfa,女,991,27,1380.0,1380.0,['林宝坚尼 柜'],春季,1
51,c4ea0115,女,1004,49,523.0,523.0,['亚历山大柜'],春季,1
52,d1be53eb,女,2797,51,3399.0,3399.0,"['乔治.阿玛尼', 'Ecco柜']",冬季,2
53,6c867666,女,771,37,58033.0,59620.0,"['阿玛尼GIORGIO ARMANI', 'LA MER', '多样屋柜']",冬季,9
54,ddc23dfe,男,2148,55,9723.0,16027.6,"['迪奥(Dior)', '迪奥柜', ""科颜氏(Kiehl's)""]",春季,16
55,33b51767,女,2094,47,489.0,489.0,['Embry Form(4F)'],冬季,1
56,c70e61f1,女,743,27,19635.0,22333.02,"['DISSONA', '飞利浦 柜', 'SATCHI女包']",春季,13
57,4cdd9144,女,282,29,2240.0,2240.0,['LANCOME'],春季,1
58,a7ed466a,女,3129,35,6430.0,6430.0,['CLARINS'],春季,2
59,743085b8,女,2700,45,991.0,991.0,"['ATSUGI', '吉弗雷 柜']",春季,2
60,20f2fbbe,女,1110,35,445.0,445.0,"['植村秀柜', '植村秀(Shu Uemura)']",冬季,2
61,8c2c07c0,女,1618,44,7315.0,24812.0,"['谢瑞麟柜', 'CHANEL', '施华洛世奇柜']",春季,5
62,6a2db50c,女,3325,51,8512.0,17084.280000000002,"['LIME', '康维他']",夏季,5
63,09169e6d,女,43,29,5701.0,5701.499999999999,['芝宝/派克'],秋季,2
64,1b8c62ce,女,2890,55,5950.0,13950.0,['宝姿柜'],春季,1
65,f2acc217,女,1187,52,14736.0,14736.0,"['虎牌', 'Dior', 'Lonino Lamborghini']",冬季,7
66,46f7300b,女,1230,30,10006.0,11523.4,"['PAW IN PAW BABY', '芭比波朗柜', 'P-PLUS 柜']",春季,11
67,37f81af7,女,377,48,9272.0,9272.0,"['ecco', 'JNBY']",秋季,6
68,27d4b125,女,1197,26,3555.0,4803.4,"['YSL', '雅诗兰黛ESTEE LAUDER', 'Sisley']",春季,8
69,1ba2c975,女,2828,35,6174.0,6174.0,"['YSL', 'Fancl柜', '欧舒丹柜']",夏季,4
70,f530264b,女,4713,40,620.0,620.0,['香奈儿柜'],冬季,1
71,88ed03a4,女,20,46,1370.0,1370.0,"['Triumph', 'V-GRASS柜']",冬季,2
72,356f8f8d,女,1930,35,18089.0,18189.0,"['banxiaoxue（女装）', 'III VIVINIKO', '莱尔斯丹（新）']",秋季,11
73,6b586b21,女,2572,59,3812.0,33897.0,"['N.PAIA', 'Marisfrolg', '周大福柜']",夏季,3
74,d20dba81,女,1753,52,16798.0,20765.04,"['CAGLIWASH', 'ATSUGI']",冬季,6
75,4018e3b1,女,1885,35,10116.0,10170.0,"['朗姿柜', 'soho', '施华洛世奇柜']",夏季,2
76,47b2a824,女,1670,55,0.0,1117.2,['ROBERTA DI CA(女鞋)'],夏季,1
77,5c1fc359,女,3159,55,4850.0,8396.0,"['ROBERTA DI CA(女鞋)', 'VME柜', 'ARMANI COLLEZIONI']",秋季,4
78,d5006a41,男,940,32,590.0,590.0,['迪奥(Dior)'],夏季,1
79,06c29225,女,1888,44,3275.0,3275.0,"['碧欧泉柜', 'CHANEL', '香奈儿柜']",冬季,5
80,62645eb2,女,2387,45,5222.0,5221.5,"['WMF 柜', '素然柜', '田川町生活馆 柜']",秋季,3
81,2b654027,女,2149,37,5510.0,5510.0,"['雅诗兰黛ESTEE LAUDER', 'MIO（米奥）']",秋季,2
82,f7f75b07,女,505,27,4998.0,6793.0,"['兰芝柜', ""科颜氏(Kiehl's)"", '倩碧(CLINIQUE)']",夏季,6
83,78396c77,男,1738,40,32315.0,45487.0,"['HUGO BOSS柜', 'Shu Uemura']",春季,17
84,54ab5157,女,970,31,294.0,1212.0,"['Thursday Island', '作品（特卖）柜']",春季,2
85,6f4d072b,男,1998,36,147.0,479.0,['Ecco柜'],夏季,1
86,57c0a50b,女,4721,38,23934.0,25753.0,"['香奈儿柜', 'Dior', 'CHANEL']",冬季,14
87,65d064c8,女,995,34,0.0,1244.6,['Dior'],夏季,1
88,94252bb4,女,3333,47,4500.0,11696.0,"['AUPRES', '欧珀莱柜', '圣罗兰柜']",春季,14
89,1dfb8c1f,女,1265,30,2925.0,2925.0,"['兰芝柜', 'CHANEL']",冬季,2
90,d03a49bd,女,877,47,87472.98,78813.57,"['DOHO柜', 'MASK', 'Embry Form(4F)']",春季,8
91,1c5383d7,女,2302,43,1690.0,1690.0,['雅诗兰黛柜'],冬季,1
92,fd31e19c,女,954,36,12238.0,12638.1,"[""科颜氏(Kiehl's)"", 'Shu Uemura', 'EK']",冬季,12
93,2dabaaa3,女,1433,32,248.0,248.0,['宝岛眼镜'],春季,1
94,91d5470e,女,2098,32,5487.0,5487.0,"['娇韵诗柜', 'JuicyCouture柜', '安娜苏 柜']",春季,3
95,2743256b,女,1558,36,13870.0,15613.0,"['植村秀柜', '植村秀(Shu Uemura)', 'Shu Uemura']",夏季,7
96,36e0a0cd,女,5019,49,552.0,552.0,['override 柜'],冬季,1
97,bb392fd5,女,3142,43,0.0,313.6,['阿玛尼GIORGIO ARMANI'],夏季,1
98,f4d5d96e,女,833,33,22419.0,22419.0,"['莱珀妮(La Prairie)', 'CHANEL', 'YSL']",秋季,3
99,11635f72,女,1307,40,2810.0,2810.0,"['Shu Uemura', 'ZUCZUG']",秋季,2
100,5da4734a,女,3268,60,5376.0,5376.0,['例外（4F女装）'],春季,1
101,660854fa,女,2113,30,11704.0,33879.0,"['Embry Form(4F)', 'SATCHI鞋特卖', '周大福柜']",夏季,10
102,f923eb02,女,897,63,5634.0,5634.0,['IMMOBILE'],夏季,1
103,f5370a34,女,3752,38,2865.0,2865.0,"['Hallmark(孕婴)', 'YARLOKS（女鞋)']",春季,3
104,daf4938d,女,2370,42,6336.0,6336.0,"['CABRIDA', 'JORYA']",春季,2
105,2cda3c44,女,1427,27,2760.0,2760.0,['兰蔻柜'],冬季,1
106,2c6bf756,男,2571,55,6342.0,8263.0,"['BIOTHERM', '贺曼柜(孕婴)', '碧欧泉柜']",夏季,12
107,294d1cdb,女,2385,27,890.0,890.0,['作品（特卖）柜'],春季,1
108,d566d4fe,女,970,29,0.0,252.0,"[""科颜氏(Kiehl's)""]",春季,1
109,8e8056e8,女,3323,54,2929.0,5073.0,"['GORNIA柜', 'HEYIN', '周大福柜']",春季,4
110,ccaabbac,女,4611,58,20463.0,20463.0,"['AUPRES', 'pikolinos', 'ZUCZUG']",春季,14
111,9d07eea3,女,1125,45,104.0,244.0,['和音集合店 柜'],冬季,1
112,12abb356,女,862,50,194726.78999999998,218010.52,"['PORTS', '宝姿柜', '六福柜']",春季,38
113,93c78a9f,女,54,49,6005.0,6005.0,"['MASK', 'DOHO柜', 'H.GENTEEL荷高']",夏季,2
114,97bb2b67,女,863,28,64703.0,76620.16,"['LA MER', 'Shu Uemura', 'allo&lugh柜']",冬季,21
115,f911efb9,女,1838,36,320.0,320.0,['YSL'],夏季,1
116,ba30c59d,女,3334,38,4394.0,4394.0,"['芭比波朗柜', '施华洛世奇柜', '圣罗兰柜']",冬季,3
117,7feae646,女,2786,29,446.0,3010.0,"['谢瑞麟柜', 'Dior', 'BOBBI BROWN']",夏季,2
118,2d63ecb2,女,3274,63,11352.0,21814.48,['Badgley Mischka'],夏季,4
119,c7bfd43d,女,740,61,55924.0,60462.2,"['例外（4F女装）', 'AUPRES', '雅氏 柜']",夏季,36
120,6ed528cd,女,133,54,26253.0,26252.6,"['Dior', 'MAX&CO柜', 'ASH 柜']",秋季,4
121,4c26b596,女,3178,64,1793.0,1793.1,"['欧莱雅柜', 'ATSUGI']",春季,3
122,4bcd25ab,女,1094,33,15165.0,16362.0,"['LANCOME', '兰蔻柜']",夏季,5
123,1946a901,女,3250,38,25917.0,34005.3,"['周大福柜', 'Sheme', ""SHE'S""]",秋季,5
124,8fc4bf9f,女,69,34,578.0,578.0,['贺曼柜(孕婴)'],冬季,1
125,8680badf,女,3119,40,4295.0,8670.8,"['MU', '雅格名鞋廊']",秋季,2
126,0923770f,女,1589,37,21620.0,22120.0,"[""科颜氏(Kiehl's)"", 'YSL', 'MO&CO.EDITION柜']",夏季,14
127,c4129fd4,男,1054,30,718.0,2718.0,['派克 柜'],冬季,2
128,79f876f0,男,1094,34,2848.0,2848.0,['JAGuAR(柜）'],冬季,1
129,c6531d0e,女,2219,44,579.0,6082.8,['VICUTU'],冬季,5
130,0f124743,女,3183,31,3239.0,3239.0,"['雅诗兰黛ESTEE LAUDER', '兰芝柜', '雅诗兰黛柜']",秋季,12
131,677fef6d,女,1853,32,2333.0,2333.0,"['Dior', 'VME柜']",秋季,2
132,fe27d793,女,503,31,21722.0,26851.86,"['欧莱雅柜', 'WHAT FOR柜', 'TOP柜']",秋季,16
133,2c2e8d0f,女,706,51,0.0,67.0,['多样屋柜'],夏季,1
134,34b54eb6,女,1227,27,620.0,620.0,['香奈儿柜'],春季,1
135,807973c0,女,136,46,8033.0,11339.2,"['Aimer', 'AS 柜', '飞利浦 柜']",秋季,10
136,fc243a85,女,2102,37,2836.0,2836.0,['bebelux'],冬季,2
137,c6369eb4,女,1259,33,9841.539999999999,9841.539999999999,"['香奈儿柜', 'CHANEL']",冬季,4
138,1062e30b,女,1431,59,1360.0,1360.0,"['TOP柜', '植村秀(Shu Uemura)']",春季,2
139,c8c0b0fa,女,670,76,64661.0,125540.32000000002,"['LA MER', '利快柜', 'PANDORA柜']",秋季,30
140,fd43abd7,男,103,45,822.0,2188.5,"['多样屋柜', 'CARBANNIA（卡邦尼）', 'Le Creuset(酷彩)']",秋季,3
141,7ba3ed74,女,269,25,4020.0,4020.0,['BOBBI BROWN'],春季,3
142,adbbd8a6,女,2813,56,11704.0,11704.0,"['LIME', '罗莱柜']",夏季,2
143,5f2236ab,女,2038,56,3642.0,6680.460000000001,"['ATSUGI', 'BIOTHERM', '碧欧泉柜']",秋季,5
144,811f5a87,女,464,53,12719.0,12719.0,"['PORTS', 'MAX&CO柜', '雅诗兰黛ESTEE LAUDER']",冬季,6
145,34262d36,男,458,41,10104.0,50005.0,"['谢瑞麟柜', '欧莱雅柜']",夏季,6
146,803d581d,女,1046,31,1560.0,1560.0,['乔治.阿玛尼'],春季,1
147,7aa37092,女,20,26,10162.0,15105.000000000002,"['阿玛尼GIORGIO ARMANI', '欧舒丹柜', 'Jurlique']",冬季,5
148,327eed72,女,4064,49,1170.0,1170.0,['碧欧泉柜'],冬季,1
149,d57bd47a,男,819,36,42327.0,53278.0,"['SK-II', '阿玛尼GIORGIO ARMANI', 'VICUTU']",春季,15
150,c90b8aa4,女,803,45,6577.0,6577.0,['HAILIVES'],春季,4
151,4ff195bb,女,1021,42,31994.0,52155.16,"['Shu Uemura', '雅诗兰黛ESTEE LAUDER', 'LANCOME']",夏季,22
152,aac89f17,女,975,54,21892.0,38506.74,"['朗姿柜', '比华利.保罗 柜', 'HEYIN']",春季,12
153,43fc9457,女,2523,47,0.0,497.0,['速塑'],冬季,1
154,fe9240c6,女,600,25,39669.0,46615.85,"['CHANEL', 'VOV', 'III VIVINIKO']",秋季,27
155,852e0ccb,女,271,23,950.0,950.0,"['欧舒丹柜', 'YSL']",夏季,2
156,8af5952c,女,4479,53,895.0,19642.0,"['梦娣亚 柜', '罗莱柜', 'ecco']",冬季,10
157,a4798541,女,1187,35,130.0,130.0,['兰芝柜'],春季,1
158,aebc183d,女,534,25,250.0,250.0,['CLARINS'],春季,1
159,5863d9b8,女,1088,30,12772.0,12772.0,"['KID BLUE 柜', 'DAZZLE DIANMOND柜']",冬季,2
160,6d2331aa,女,526,35,8275.0,8375.0,"['JuicyCouture柜', 'PATAIZIA PEPE 柜', ""SHE'S""]",夏季,6
161,f72a49ed,女,1014,35,2470.0,2470.0,"['兰蔻(LANCOME)', '雅诗兰黛柜', '兰蔻柜']",春季,2
162,18d1b66b,女,884,43,496.0,6115.0,['六福柜'],夏季,1
163,d3ba6a2f,女,4378,50,4150.0,4150.0,"['CARBANNIA（卡邦尼）', 'TOP柜', 'VME柜']",春季,4
164,893545d0,女,2126,41,2937.0,7991.4,"['MU', 'LIU JO 柜', 'Juicy Couture']",春季,5
165,ce6dd8fc,女,3303,50,2862.0,2862.0,['SATCHI女包'],冬季,1
166,e9713e66,女,731,30,14160.0,14759.0,"[""科颜氏(Kiehl's)"", 'LANCOME', 'Shu Uemura']",夏季,9
167,51d35eff,女,1498,49,42193.0,47504.1,"['pikolinos', 'SK-II', 'KENT&CURWEN柜']",夏季,21
168,81d80129,女,1,35,1019.0,1019.0,['菲安妮女包'],冬季,1
169,1fc444bc,女,4761,55,1390.0,3525.0,"['Triumph', '法蓝瓷(FRANZ)柜']",冬季,2
170,a336fee9,男,2267,43,16661.0,74022.0,"['KENT&CURWEN柜', 'LUKA DILONG', 'GIVENCHY 柜']",冬季,11
171,b5d2b740,女,381,42,24698.0,24698.0,"['雅诗兰黛ESTEE LAUDER', '雅诗兰黛(ESTEE LAUDE', 'LIU JO 柜']",夏季,9
172,f153479d,女,24,21,11720.0,11720.0,"['CHANEL', '芝宝/派克', 'CANUDILO柜']",冬季,2
173,f86113b4,女,736,28,510.0,510.0,['CLARINS'],冬季,2
174,c438fa97,女,3247,51,2150.0,2150.0,['雅诗兰黛柜'],冬季,1
175,0435561a,女,5190,51,499.0,4448.2,"['欧舒丹柜', 'K.H.Design', 'Embry Form(4F)']",夏季,3
176,63b2ff40,女,2129,37,2860.0,2860.0,"['碧欧泉(BIOTHERM)', 'SK-II']",春季,3
177,fbf3b5fc,女,1490,32,880.0,880.0,['雅诗兰黛柜'],冬季,1
178,6cf1ca37,女,1153,37,11100.0,11100.0,"['兰蔻柜', '迪奥(Dior)', '迪奥柜']",冬季,2
179,0b9c4857,女,884,42,144182.0,144182.0,"['极草柜', 'HUGO BOSS柜', 'CERRUTI 1881 柜']",春季,3
180,6c469071,男,726,36,51044.0,60162.27,"['ARMANI COLLEZIONI', 'CHANEL', '双立人柜']",夏季,16
181,8a33dc75,女,2450,38,12093.0,12093.0,"['兰蔻(LANCOME)', '英乐士', 'LANCOME']",夏季,11
182,9b7136e4,女,3413,28,2370.0,2370.0,"['娇韵诗柜', '迪奥柜', '兰蔻柜']",春季,2
183,0adbe386,女,1392,37,555.0,555.0,['BIOTHERM'],秋季,1
184,e5b0ce45,女,2456,38,284.0,4060.0,['周大福柜'],夏季,1
185,9c689f2f,女,728,40,9421.0,20902.0,"[""科颜氏(Kiehl's)"", 'Wacoal', 'DIAMOND DAZZLE']",秋季,11
186,8b84eaf3,女,2195,44,1896.0,1996.0,"['BY selvage 柜', 'MU 柜']",冬季,1
187,2a339fc8,男,135,22,2980.0,2980.0,['APM'],夏季,3
188,16d2f77a,女,823,50,4422.0,4422.0,"['施华洛世奇柜', 'JORYA']",夏季,2
189,036a407a,女,1469,34,1926.0,5121.0,"['LANCOME', 'JNBY']",春季,3
190,61e0a74e,女,1495,42,9741.0,9741.0,"['Dior', '施华洛世奇柜', '雅诗兰黛ESTEE LAUDER']",夏季,9
191,1ea75f2e,女,435,48,38134.0,55406.0,"['Marisfrolg', '雅诗兰黛ESTEE LAUDER', 'CHANEL']",夏季,7
192,bd94dd0c,女,671,37,15860.0,15860.0,"['阿玛尼GIORGIO ARMANI', 'ASH 柜', 'ladanum&myteno']",夏季,5
193,938fe4f2,女,1719,44,2651.0,6162.0,"['AD KIDS', '罗莱柜', '周大福柜']",夏季,4
194,f2b512c3,女,2537,40,1300.0,1300.0,['阿玛尼GIORGIO ARMANI'],秋季,1
195,85f77d3a,女,1589,42,4029.0,4029.0,"['爱慕KIDS', 'PAW IN PAW', 'soho']",秋季,5
196,466bfabf,男,2004,49,12576.0,12576.0,['S.D.Spontini'],秋季,3
197,fa839676,女,41,43,13734.0,13734.0,['LANCOME'],秋季,3
198,b713b579,女,3135,53,10502.999999999998,10663.0,"[""科颜氏(Kiehl's)"", '嘉宝柜', 'LA FEE']",秋季,4
199,f60cb246,女,4627,58,1300.0,1300.0,['植村秀柜'],春季,1
200,fad94560,女,23,36,5947.0,12742.4,"['LIME', '雅诗兰黛ESTEE LAUDER', 'MU']",夏季,5
201,7683998f,女,1924,63,5446.0,4766.0,"['芭比波朗柜', '沙驰']",冬季,3
202,419b21ff,女,2441,41,11250.0,11250.0,"['Fellala', '迪桑娜柜', '雅诗兰黛ESTEE LAUDER']",春季,8
203,ccad192c,女,3065,55,4108.0,6108.2,"['PORTS', 'YARLOKS（女鞋)']",冬季,2
204,e16d2a12,男,3270,46,536.0,536.0,['LIU JO 柜'],夏季,1
205,f9339bd6,女,2440,36,3084.0,3084.0,"['JuicyCouture柜', 'F.O.I BITZ', 'LIU JO 柜']",冬季,3
206,1b360f43,男,3105,49,1794.0,1794.0,['YARLOKS'],春季,1
207,0e52f420,女,2182,55,9742.0,9742.0,"['CLARINS', 'DKNY 柜', 'coach 柜']",秋季,3
208,c043f335,女,1762,41,0.0,14.4,['郡是'],春季,1
209,5ffcf89a,女,5031,42,4725.0,4725.0,"['CAGLIARI EXCHANGE', 'ROBERTA DI C（包）']",夏季,1
210,41064b44,女,3170,35,489.0,489.0,['nike'],冬季,1
211,c0315002,女,71,38,770.0,770.0,['APM'],冬季,1
212,f9f5c2ea,女,3707,48,2248.0,2248.0,"['素然柜', '家之良品柜']",冬季,2
213,b74803ef,男,1963,48,29629.0,29629.0,"['GIVENCHY 柜', '和音柜', 'Insun柜']",冬季,4
214,5e8e44bc,女,930,31,1000.0,1000.0,['香奈儿(CHANEL)'],夏季,1
215,505ccaab,女,1765,47,0.0,24271.199999999997,['罗莱柜'],秋季,4
216,c926bd22,女,1837,34,6137.0,19545.0,"['都彭 傲仕 柜', '兰芝柜', 'bebelux']",秋季,9
217,c6a622ea,女,1802,29,38921.0,38921.0,"['JNBY', 'III VIVINIKO', 'GIVENCHY 柜']",春季,7
218,528394c9,男,1597,34,10486.0,13356.0,"['迪奥柜', 'Dior', 'PAW IN PAW']",冬季,10
219,e2c413fd,女,1370,34,75641.0,79025.0,"['路卡迪龙 柜', 'LUKA DILONG', '林宝坚尼 柜']",春季,12
220,37cfcb35,女,1581,33,655.0,655.0,"['阿玛尼GIORGIO ARMANI', 'LANCOME']",春季,2
221,3fd07f44,女,1868,50,6106.0,10444.0,"['阿玛尼GIORGIO ARMANI', '乔治.阿玛尼']",夏季,7
222,c0c4a427,男,1479,27,7640.0,7640.0,"['LANCOME', 'CLARINS']",秋季,4
223,ef5faa82,女,1556,49,9990.0,8215.0,"['LANCOME', '兰蔻柜', '兰芝柜']",春季,6
224,9bb84dd6,女,3139,34,4010.0,4010.0,['雅诗兰黛ESTEE LAUDER'],秋季,1
225,33cfa049,女,808,58,2032.0,2032.0,"['朗姿柜', '雅诗兰黛ESTEE LAUDER']",冬季,2
226,a4554619,男,649,44,7450.0,7450.0,['GUERLAIN'],秋季,2
227,951917b6,女,1259,32,8326.0,9279.1,"['雅诗兰黛柜', '芭芭麻麻', 'Juicy Couture']",夏季,6
228,5ba034db,男,1479,34,100.0,100.0,['施华洛世奇柜'],夏季,1
229,262f059e,女,2666,57,26558.0,28738.3,"['雅芳婷柜', 'YARLOKS（女鞋)', 'pikolinos']",夏季,8
230,07620ae7,女,495,40,37345.0,75964.0,"['GUERLAIN', 'Dior', 'LA MER']",夏季,12
231,eb87dbf2,女,773,44,10345.0,20920.1,['LANCOME'],夏季,7
232,699d4201,女,1007,24,7239.0,7239.0,"['CHANEL', 'MO&CO.EDITION柜']",夏季,4
233,b1e7c8e5,女,4440,54,55392.0,75192.0,"['阿玛尼GIORGIO ARMANI', '比华利.保罗 柜', 'CANALI柜']",夏季,15
234,1f353ed3,女,924,64,938.0,7760.0,"['欧莱雅柜', 'YARLOKS（女鞋)', '凯驰怡口柜']",秋季,3
235,967631b0,女,3282,45,3313.0,3312.9,"['CANUDILO柜', '速塑']",秋季,1
236,3120fba0,女,199,33,640.0,640.0,['YSL'],春季,1
237,35b76fcd,女,1796,50,13370.0,13370.0,"['嘉宝柜', '登喜路(Dunhill)', 'nisiss 柜']",夏季,3
238,3ce33dc0,女,76,39,1309.0,1309.0,['ELLE男包专柜'],冬季,1
239,3dc76c91,女,4482,54,1132.0,1132.0,['WHAT FOR柜'],春季,1
240,9a8df74a,男,138,34,6000.0,25800.0,"['瑞士钟表柜', 'ARMANI COLLEZIONI']",夏季,2
241,1bfa693a,女,397,41,0.0,4400.2,['谢瑞麟柜'],秋季,1
242,8e29895f,女,2079,50,1286.0,1286.0,['23区'],冬季,1
243,0adac38a,女,965,25,0.0,2019.6,"['Embry Form(4F)', 'Calvin Klein Jeans柜', ""科颜氏(Kiehl's)""]",春季,2
244,0c6e4ab3,女,3140,37,3981.0,3981.0,"['eifini', 'Dior']",冬季,2
245,d9519aa5,女,2981,33,27635.0,33083.6,"['希思黎柜', 'Sisley', 'SK-II']",春季,11
246,a0e7a7c6,女,4713,48,1980.0,1980.0,['PORTS'],春季,1
247,05f0352e,女,2533,40,1290.0,6852.48,"['阿玛尼GIORGIO ARMANI', 'Fancl柜', '施华洛世奇柜']",夏季,2
248,bda5afec,女,1795,41,2700.0,2700.0,"['BOBBI BROWN', '芭比波朗(BOBBI BROWN']",春季,3
249,77f6a5ce,女,3134,44,6132.0,6132.0,"['兰蔻(LANCOME)', 'AS 柜', '兰芝柜']",春季,3
250,f47931cc,女,2509,41,5678.0,10431.8,"['Jurlique', 'ZUCZUG', 'BIOTHERM']",夏季,6
251,55e1578f,男,3322,32,1204.0,1204.0,['多样屋柜'],夏季,1
252,177a6fa3,女,551,28,1915.0,1915.0,"['OHUI/后', 'VICUTU']",夏季,2
253,fa3789bd,女,802,31,5275.0,5275.0,"['BOBBI BROWN', '兰芝柜', '雅诗兰黛ESTEE LAUDER']",冬季,7
254,60d9639f,女,3298,49,9452.0,9452.0,"['CLINIQUE', '雪花秀', '欧莱雅柜']",冬季,6
255,5cb6a57c,女,2939,45,55729.0,58289.3,"['CAGLIARI EXCHANGE', 'ICICLE', 'YARLOKS（女鞋)']",夏季,26
256,dd92cddf,女,569,36,1950.0,1950.0,['ZUCZUG'],冬季,1
257,3a2ad9d5,男,2282,74,1088.0,1088.0,['MARJA KURKI'],冬季,1
258,a3b13518,女,4691,57,0.0,968.0,"['兰蔻(LANCOME)', 'Rime']",冬季,2
259,aeff3623,女,3324,55,9974.0,24374.0,"['YSL', 'CHANEL', 'CARTIER 柜']",冬季,8
