,rhsc,xfsp,sfpc,zjxf
298,776,21247.0,16,1026
299,1376,1014.0,1,1091
300,1540,1351.0,1,1091
301,134,17978.0,3,548
302,2461,3542.0,1,38
303,2874,9367.0,4,129
304,405,1398.0,1,797
305,294,37510.0,7,823
306,1948,3800.0,1,1049
307,13,28815.0,1,800
308,1763,7357.0,2,1045
309,2973,5288.0,1,1088
310,2456,2187.36,1,46
311,1103,490.0,1,956
312,1282,38383.0,16,864
313,1889,44813.17999999999,11,996
314,659,980.0,1,1080
315,4713,4902.0,6,1015
316,2779,0.0,1,171
317,46,1725.0,2,32
318,1630,558.0,1,177
319,1252,24712.0,3,115
320,925,3550.0,1,729
321,3002,5187.0,3,1059
322,3793,620.0,1,518
323,41,4110.0,2,839
324,659,78877.96999999999,15,189
325,146,7110.0,1,1096
326,1027,12918.0,6,499
327,2038,2930.0,4,27
328,746,12272.0,2,954
329,881,24404.0,14,492
330,387,22935.0,13,17
331,1504,420.0,2,747
332,2084,14665.38,6,947
333,4955,36043.0,8,1081
334,887,40249.6,10,148
335,998,10405.0,4,230
336,3328,8897.4,8,603
337,1639,13372.0,3,241
338,134,9363.0,1,1094
339,1096,3180.0,2,1095
340,32,4830.0,2,1093
341,1633,3170.0,1,41
342,1213,1735.0,3,616
343,4000,12833.0,3,683
344,2403,9963.0,9,220
345,503,26851.86,16,476
346,1119,9882.0,10,48
347,83,26320.0,10,166
348,2763,5616.0,1,990
349,1083,2630.0,1,1060
350,4850,1150.0,1,1060
351,954,3380.0,1,898
352,1154,7207.0,3,931
353,1655,2490.0,2,983
354,555,5976.0,4,1001
355,1116,14403.0,6,493
356,3238,91176.9,21,65
357,2262,9495.0,1,373
358,2064,8919.0,2,1054
359,1408,9992.0,7,1093
360,1400,2318.0,2,1059
361,1019,58861.2,34,1095
362,744,1769.2,3,373
363,3233,8218.0,2,192
364,4539,4345.0,3,442
365,1912,22395.0,6,969
366,614,9592.0,3,212
367,2942,9432.0,2,1023
368,854,4853.0,2,730
369,5,6313.1,3,617
370,2039,1095.3,1,47
371,3,17382.78,1,899
372,2162,7585.0,4,505
373,1228,3380.0,1,453
374,1011,81473.0,17,459
375,2044,26413.0,10,128
376,2160,320.0,1,730
377,1591,19666.0,8,468
378,1830,700.0,1,45
379,1491,1278.0,2,831
380,2252,4446.0,7,959
381,1589,19944.6,11,1067
382,3170,940.0,1,523
383,3111,300.0,1,833
384,985,2580.0,1,730
385,52,1648.0,2,1080
386,2778,10469.0,2,1062
387,2894,550.0,1,933
388,2191,88085.40000000002,25,209
389,750,28067.0,10,752
390,2397,1400.0,2,946
391,1772,324.0,1,1060
392,2455,190126.39,15,227
393,1675,808.2,1,1085
394,40,1930.5,1,1045
395,872,620.0,1,614
396,1704,10992.0,3,115
397,2135,1850.0,4,1071
398,41,3754.1,3,1060
399,1186,2392.0,1,640
400,1446,820.0,1,925
401,3174,18619.0,11,80
402,626,52886.0,9,1060
403,1033,7972.0,3,954
404,909,39784.0,6,1030
405,945,15990.0,5,113
406,957,903.0,1,1050
407,1063,4694.0,2,867
408,3164,949.0,1,1039
409,403,12972.2,7,1058
410,3908,8084.0,5,1052
411,2856,3580.0,2,666
412,3345,16230.0,7,1091
413,4030,14020.1,8,128
414,3341,1005.0,1,806
415,1293,600.0,1,150
416,1655,10188.0,4,107
417,370,34297.8,11,1097
418,1253,1330.0,2,995
419,1546,16513.0,4,883
420,2778,4332.0,5,80
421,164,5550.0,1,801
422,1138,5457.0,2,890
423,2692,1890.0,1,211
424,4030,4020.8,2,999
425,2396,4860.0,2,1000
426,2384,17550.0,1,476
427,630,2856.0,1,663
428,720,64654.0,13,806
429,676,31543.28,6,843
430,970,90328.0,6,233
431,282,159596.41999999998,26,948
432,1019,220.0,1,809
433,39,25985.9,5,746
434,3211,2310.0,1,930
435,3196,17815.05,8,762
436,3566,84001.08,27,1075
437,1493,24117.0,3,67
438,1700,82820.37999999999,28,997
439,1560,11106.0,3,1060
440,2455,3989.0,2,865
441,1569,15450.9,2,118
442,1489,6365.0,7,1094
443,1102,54882.10000000001,24,919
444,1035,7020.05,5,976
445,375,8032.0,4,203
446,2886,122941.9,37,173
447,242,9565.0,4,931
448,1320,9341.44,3,1095
449,1471,2170.5,3,31
450,5,1134.0,1,671
451,644,2126.100000000001,11,225
452,1646,5120.0,3,723
453,2214,880.0,2,22
454,662,17558.0,3,997
455,1555,9068.0,3,1047
456,463,299711.68999999994,66,129
457,1786,4624.0,2,909
458,1868,2471.0,4,1039
459,1346,9833.6,5,1092
460,865,3190.0,2,1038
461,2049,84638.3,24,1096
462,4369,1815.0,4,445
463,2527,3928.6,4,222
464,1224,153211.72,45,882
465,130,3271.0,4,172
466,3752,350.0,1,822
467,1134,3440.0,2,967
468,9,10358.3,8,712
469,973,7817.4000000000015,3,1060
470,215,1520.0,1,913
471,2011,4152.0,3,783
472,3123,14782.0,6,1096
473,4807,8081.0,3,1024
474,2682,11423.2,10,751
475,4048,13283.0,5,712
476,1105,3890.0,1,864
477,981,5233.2,1,232
478,969,16452.0,7,0
479,953,4500.0,1,996
480,2570,500.0,1,1060
481,2258,2616.0,6,920
482,41,9530.0,2,1085
483,1713,16056.2,5,1068
484,1463,2193.0,2,1060
485,2860,14097.0,6,1097
486,1851,29352.0,2,181
487,147,3582.0,1,652
488,255,1000.0,1,947
489,6,1344.0,1,924
490,621,6466.0,7,1089
491,2632,10973.8,6,1094
492,4,2203.0,1,987
493,926,200.0,1,1063
494,397,43814.7,10,437
495,2898,16362.0,2,997
496,2690,1979.0,1,763
497,1248,2976.0,1,1094
498,262,3005.0,2,37
499,1591,9810.0,4,559
500,972,10502.1,3,1065
501,2412,8030.0,5,1084
502,1352,4961.0,4,122
503,1552,8583.0,2,951
504,953,16650.0,1,172
505,912,5040.0,1,1094
506,3321,1970.0,2,1079
507,4073,21352.86,18,627
508,1906,1799.0,1,181
509,306,1000.0,1,1096
510,2768,320.0,1,488
511,1727,59143.1,29,1004
512,22,5476.0,3,559
513,717,39884.5,7,972
514,1091,5161.0,5,927
515,4434,717.0,1,712
516,437,13949.0,5,1095
517,1257,8558.0,5,225
518,1330,54754.5,17,231
519,1205,540.0,1,590
520,4716,6841.0,5,584
521,1045,69851.70000000001,40,571
522,1871,925.0,1,183
523,1005,420.0,1,939
524,2026,19735.0,4,633
525,105,117273.91,21,373
526,3383,17924.0,10,1061
527,993,2825.0,1,66
528,11,900.0,1,84
529,646,10038.000000000002,3,756
530,1140,74423.0,17,1060
531,2615,1000.0,1,66
532,1090,320.0,1,743
533,2906,81570.5,18,732
534,432,14026.0,6,13
535,959,2710.0,1,996
536,223,3817.0,4,55
537,5186,1060.0,1,744
538,1288,2423.0,2,828
539,37,9652.0,3,1007
540,1762,6307.5,5,1076
541,2793,2660.0,2,2
542,3202,23973.400000000005,9,1091
543,2682,3482.0,2,204
544,859,24230.0,7,1095
545,4823,19739.0,5,894
546,727,567.0,1,760
547,13,2124.0,2,155
548,930,1105.0,3,1094
549,1804,22459.0,4,1070
550,3174,11105.0,9,996
551,2326,870.0,1,1063
552,1324,1520.0,1,137
553,1471,5126.0,3,178
554,1923,4260.0,2,1004
555,1015,27781.0,7,492
556,2165,180.0,1,770
557,436,3019.0,2,695
558,2219,7895.0,2,454
559,949,38725.3,8,874
560,945,12914.0,6,1088
561,3529,310.0,1,789
562,1661,3028.0,1,475
563,27,2278.0,2,160
564,3,4990.0,1,1025
565,4713,710.0,1,1061
566,984,1230.0,1,1069
567,425,1867.0,1,742
568,1333,14410.0,5,769
569,1222,1120.0,1,235
570,3144,22063.0,4,54
571,1092,45647.22,22,893
572,1360,10285.0,3,843
573,1385,19409.0,5,825
574,20,3430.0,1,179
575,2926,328.0,1,1068
576,1249,1775.0,1,988
577,1219,18467.4,8,161
578,947,128.0,1,609
579,4608,4278.0,2,1077
580,2533,4244.4,3,899
581,26,945.0,1,1046
582,741,4370.0,3,823
583,2425,1551.0,1,47
584,1408,1242.0,1,1061
585,1179,2465.0,3,766
586,1212,11525.2,6,968
587,495,73248.56,10,5
588,882,9944.0,1,555
589,13,12997.0,9,216
590,2385,1605.0,1,877
591,1225,59857.0,3,32
592,2443,1355.0,1,120
593,1239,1539.0,1,1060
594,997,1280.0,1,697
595,1838,2079.0,1,107
596,2191,1140.0,1,1096
597,947,320.0,1,1059
598,725,15955.0,3,1059
599,655,1610.0,1,1067
600,851,6773.0,3,876
601,187,17460.66,1,1098
602,969,1390.0,1,740
603,2406,396.0,1,1069
604,1236,10537.72,6,1081
605,1153,5386.0,2,1059
606,4488,1648.0,2,851
607,983,496.0,1,775
608,4409,4688.0,3,181
609,1070,30270.0,7,1087
610,3,3115.0,1,631
611,1514,68510.0,2,491
612,4881,292.5,1,603
613,4409,1190.0,1,231
614,892,23001.0,8,1095
615,1034,27901.2,11,545
616,13,6811.0,7,985
617,2760,3709.0,4,1016
618,4421,46063.16,6,198
619,714,12036.4,5,201
620,3247,8432.0,4,971
621,2366,5204.0,3,989
622,1099,1355.0,2,1037
623,1168,320.0,1,983
624,1865,14087.8,13,373
625,818,1507.0,1,597
626,20,12233.0,6,924
627,469,92280.15,28,1048
628,1568,30126.0,6,203
629,1783,1110.0,1,1059
630,1070,3588.0,1,878
631,2062,2271.0,1,185
632,1974,4166.12,2,1005
633,673,27342.0,24,749
634,693,3198.0,1,1091
635,3188,11626.0,2,1088
636,209,5950.0,3,207
637,2808,620.0,1,738
638,2785,11461.0,5,1095
639,1611,22018.0,4,779
640,1352,1422.0,1,240
641,3197,1720.0,2,1026
642,1476,4033.4,2,513
643,1539,196997.27,66,843
644,1053,3867.0,2,1083
645,2136,6576.0,4,835
646,2557,1592.0,1,563
647,3885,540.0,1,645
648,750,1237.0,3,732
649,3132,9157.0,9,1076
650,4850,1536.0,2,931
651,1319,1300.0,1,211
652,2112,658.0,1,698
653,1061,7047.0999999999985,5,1060
654,756,300.0,1,755
655,939,2364.3,1,232
656,1103,24414.0,4,906
657,2463,8556.3,4,1068
658,2113,96200.34,34,762
659,955,1824.0,1,34
660,1139,29029.0,9,21
661,748,38895.0,11,1094
662,837,6277.0,2,1029
663,899,2320.0,1,1011
664,119,3070.0,4,1094
665,2143,335.0,1,973
666,2332,1069.0,1,162
667,3142,32209.2,12,465
668,1130,7698.0,3,204
669,1631,16948.0,3,1076
670,2170,690.0,1,722
671,18,4100.0,1,539
672,645,55293.82,15,1060
673,1719,4114.0,2,970
674,2774,12011.0,6,112
675,1883,17826.85,7,730
676,1975,18271.0,3,997
677,4068,12065.0,3,750
678,1491,30230.4,7,1073
679,1215,3305.0,1,114
680,2534,14996.0,4,18
681,862,1143.0,2,1038
682,3347,3446.0,1,126
683,659,15635.0,6,579
684,35,680.0,1,516
685,1573,359.0,1,1038
686,435,25379.01,10,892
687,706,2579.0,2,227
688,1636,22122.0,17,201
689,824,1773.0,1,773
690,2651,2200.0,1,227
691,532,9923.0,2,749
692,1293,2460.0,3,89
693,515,3211.0,1,464
694,1635,12930.0,2,148
695,680,5379.29,6,47
696,4666,2538.0,1,149
697,1685,1420.0,3,51
698,220,2490.0,1,629
699,3167,8510.0,2,34
700,3513,409.5,1,184
701,798,1240.0,1,757
702,3203,5050.0,2,47
703,2078,1200.0,2,117
704,1240,1050.0,1,1059
705,1594,465.0,1,1080
706,3044,8653.0,2,1069
707,15,1180.0,1,475
708,464,12719.0,6,1096
709,551,1915.0,2,463
710,2367,18810.0,1,1096
711,889,1975.0,1,1059
712,2006,9272.0,3,998
713,2918,1806.0,1,611
714,165,94238.5,15,993
715,1345,449.0,1,566
716,34,810.0,1,43
717,1753,13180.0,3,1032
718,2760,6853.0,1,2
719,903,31594.4,32,763
720,41,61227.50000000001,26,127
721,2225,2490.0,2,701
722,1685,8523.0,2,62
723,1185,1692.0,1,1019
724,3221,3591.0,1,68
725,4996,1070.0,2,892
726,1259,2305.0,2,32
727,988,19755.0,5,21
728,2697,14600.16,8,240
729,2562,510.0,1,25
730,435,3278.0,1,633
731,169,72887.52,8,1094
732,2061,7404.0,4,493
733,1069,503.1,1,1098
734,1762,535.0,1,856
735,1914,87134.45999999999,17,709
736,3275,1533.0,1,1081
737,957,30275.0,3,125
738,2463,21158.0,6,493
739,1909,586.0,1,1085
740,971,14308.9,4,215
741,912,6780.0,2,1094
742,1330,8656.5,4,802
743,3225,5679.0,3,1028
744,551,60919.32,15,1061
745,2325,11617.0,3,647
746,3498,8040.0,4,3
747,5216,778.0,1,1087
748,387,245.0,1,176
749,1139,438.0,1,846
750,2809,3708.0,2,25
751,214,830.0,1,1085
752,2749,12485.0,5,219
753,3122,1895.0,1,759
754,2682,7190.0,1,170
755,2391,10594.080000000002,6,867
756,873,7500.0,1,1060
757,2350,1898.0,2,1064
758,893,5094.0,1,954
759,1940,1428.0,1,143
760,3134,44269.0,11,993
761,1530,59431.4,15,1068
762,1730,2260.0,1,471
763,3883,2700.0,1,768
764,1413,8430.0,2,905
765,2031,648.0,1,995
766,3493,1021.0,2,1060
767,506,12363.0,2,801
768,870,28790.0,12,1022
769,2121,13501.0,1,1000
770,1343,996.0,2,21
771,810,10966.0,4,165
772,121,2220.0,2,1060
773,2044,57086.0,11,23
774,1596,660.0,1,797
775,738,9276.0,3,114
776,524,2013.0,1,162
777,1164,3130.0,1,1060
778,251,2188.0,1,810
779,1845,26748.5,9,1000
780,3061,19347.0,10,1095
781,1618,12817.0,5,823
782,2684,3943.0,1,498
783,3944,1845.0,2,191
784,1449,14684.0,10,139
785,1534,399.0,1,710
786,53,9530.0,7,373
787,2343,346.0,2,914
788,2089,2903.0,1,944
789,1135,61759.7,14,145
790,835,560.0,1,794
791,1738,7371.0,3,1088
792,501,4810.0,4,1080
793,1003,1090.0,1,859
794,1376,2000.0,1,225
795,1139,12170.0,5,575
796,1015,2466.0,1,886
797,958,16255.0,2,1060
798,794,8568.0,3,986
799,1059,2192.0,2,1029
800,1376,38747.0,4,136
801,1052,21042.0,1,957
802,1099,1240.0,1,1087
803,3181,2503.0,2,775
804,2065,17180.0,6,1049
805,645,36.0,1,1034
806,708,7285.0,1,453
807,953,1706.0,1,1044
808,2232,10340.0,2,1060
809,2770,5383.0,1,373
810,933,2666.0,1,604
811,751,2180.0,1,1025
812,1371,23710.0,4,712
813,2904,1788.0,1,1094
814,650,420.0,1,1022
815,974,4509.0,4,942
816,1899,2942.0,1,1088
817,2814,92769.9,24,987
818,1478,9020.0,4,215
819,897,7535.0,1,1044
820,1279,920.0,3,996
821,3636,55533.9,10,856
822,22,1022.0,1,605
823,1249,27948.0,17,1093
824,2587,46045.2,14,231
825,136,21189.0,6,643
826,2199,3254.0,1,1059
827,125,3355.0,1,831
828,1591,10910.0,2,590
829,567,4395.0,1,941
830,953,7470.0,1,221
831,1104,30923.0,30,128
832,940,1698.0,1,889
833,2153,21515.0,19,952
834,917,2019.0,1,721
835,2802,3843.2,5,40
836,1361,1870.26,3,822
837,2746,4310.9,3,977
838,1231,1600.0,1,162
839,111,695.0,1,612
840,2282,14975.0,2,1059
841,2291,8938.0,10,964
842,951,3351.61,3,904
843,2657,18155.4,7,493
844,4453,3108.0,2,1012
845,4,6042.0,2,521
846,1438,20127.0,13,1060
847,1062,2736.0,7,945
848,899,2560.0,1,963
849,37,5620.0,3,797
850,2524,36151.5,21,1049
851,1103,60106.10999999999,5,996
852,1685,7749.0,4,162
853,1579,1840.0,1,129
854,384,2958.0,2,438
855,2168,126572.3,17,839
856,1571,690.0,1,120
857,2166,34585.0,12,127
858,1387,7325.8,2,694
859,688,3024.0,1,969
860,1008,1480.0,1,73
861,531,62627.0,2,22
862,4607,9873.0,5,211
863,957,4555.0,1,747
864,3300,699.0,1,985
865,2517,56364.1,28,234
866,1204,1602.0,1,863
867,959,24262.6,6,73
868,672,85888.0,1,189
869,2040,4894.0,3,502
870,1678,49495.3,14,513
871,4573,280.0,1,539
872,25,2019.0,1,220
873,736,23479.54,17,441
874,436,44074.2,17,46
875,2489,1810.0,1,780
876,133,21518.0,4,960
877,1977,13976.0,7,1060
878,1516,1595.0,3,612
879,2568,4160.0,2,1059
880,1504,12519.0,4,945
881,2575,3120.0,3,73
882,4912,5400.0,1,857
883,514,878.0,1,53
884,3950,3706.0,1,1066
885,2327,12736.0,2,491
886,591,70903.59999999999,5,145
887,1203,10100.0,11,31
888,2912,11467.0,6,819
889,1217,225.0,1,1098
890,2988,2157.0,2,671
891,2798,60061.0,23,1013
892,3189,2810.0,3,618
893,956,34781.460000000014,11,78
894,3156,4409.0,1,60
895,1651,4774.0,3,997
896,4954,5186.0,3,1095
897,1490,22019.0,5,734
898,1188,920.0,1,966
899,600,46615.85,27,111
900,1053,900.0,2,43
901,469,13587.0,1,1040
902,76,9568.4,3,1067
903,740,58709.0,15,1074
904,558,2800.0,1,587
905,408,22971.0,1,969
906,1089,230905.31,52,1060
907,2498,7949.0,2,837
908,752,2990.0,3,712
909,3270,41946.10000000001,17,626
910,1553,1528.0,3,34
911,1078,2400.0,1,860
912,1704,2110.5,1,559
913,1597,6610.0,2,863
914,14,4740.0,1,1095
915,1776,105049.4,22,74
916,1129,2990.0,1,112
917,1719,1676.0,1,863
918,885,15823.3,3,794
919,839,10330.0,3,1085
920,136,4575.0,3,1086
921,1413,6000.0,1,502
922,1972,6355.0,2,514
923,1382,5221.8,1,577
924,1071,1930.0,2,1084
925,2222,3618.0,1,86
926,884,45440.6,31,1054
927,650,2050.0,1,1078
928,400,12320.0,3,1087
929,29,800.0,1,129
930,794,6898.2,5,670
931,2397,15161.0,8,206
932,208,2274.0,1,231
933,3073,2078.0,1,780
934,3162,655.0,2,870
935,1175,860.0,2,793
936,3277,16329.0,11,967
937,3080,45566.0,16,759
938,19,2520.0,1,808
939,1319,3023.0,2,55
940,1975,1055.0,1,1078
941,2559,1980.0,1,568
942,1518,15473.0,7,117
943,1642,3450.0,1,145
944,614,5255.0,4,158
945,5023,840.0,2,1095
946,974,620.0,1,1093
947,933,310.0,1,728
948,2460,3631.0,1,23
949,56,7680.0,5,149
950,2379,311.0,2,47
951,893,5645.0,1,447
952,1799,7430.0,2,1056
953,1876,1793.0,2,1075
954,2627,849.0,2,749
955,390,5784.79,3,1076
956,4661,31904.8,18,111
957,340,28437.0,6,1097
958,435,4444.0,2,736
959,1056,1520.0,1,12
960,2478,4975.0,3,867
961,2751,6964.0,3,451
962,2573,6130.0,2,373
963,3872,18773.0,8,69
964,2389,390.0,1,1059
965,3039,15878.7,3,755
966,998,26514.430000000004,15,1052
967,884,50807.78,30,32
968,2420,27538.0,10,45
969,841,18473.0,9,31
970,1320,7010.32,3,783
971,1257,10326.0,4,1029
972,733,1780.0,1,1029
973,3142,310.0,1,1090
974,1570,19192.0,6,753
975,1827,13288.6,6,996
976,9,309030.0,1,1096
977,2946,30454.0,21,967
978,701,3748.0,3,1059
979,1127,584.0,1,460
980,2507,250.0,1,730
981,837,8234.0,3,88
982,25,8045.0,3,23
983,510,64675.4,40,105
984,2653,560.0,2,225
985,999,5544.0,1,1015
986,3368,26995.3,7,762
987,1326,1010.0,1,1090
988,1919,7501.0,10,730
989,1064,233.0,1,4
990,3126,9009.0,1,1077
991,1253,1420.0,1,881
992,5027,3430.0,5,124
993,3278,96484.5,25,934
994,3297,58482.60000000001,10,1080
995,1331,1275.0,1,27
996,2177,3400.0,1,65
997,14,7974.0,2,233
998,630,47583.8,5,12
999,3512,12786.0,5,996
1000,376,480.0,1,1094
1001,2442,3114.0,2,45
